Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Wellman M.P.","7005153459;","Trading agents",2011,"Synthesis Lectures on Artificial Intelligence and Machine Learning","12",,,"1","107",,1,"10.2200/S00370ED1V01Y201107AIM012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959956593&doi=10.2200%2fS00370ED1V01Y201107AIM012&partnerID=40&md5=b6f269d7088bf497ba6ee0861e9502f6","University of Michigan, United States","Wellman, M.P., University of Michigan, United States","Automated trading in electronic markets is one of the most common and consequential applications of autonomous software agents. Design of effective trading strategies requires thorough understanding of how market mechanisms operate, and appreciation of strategic issues that commonly manifest in trading scenarios. Drawing on research in auction theory and artificial intelligence, this book presents core principles of strategic reasoning that apply to market situations. The author illustrates trading strategy choices through examples of concrete market environments, such as eBay, as well as abstract market models defined by configurations of auctions and traders. Techniques for addressing these choices constitute essential building blocks for the design of trading strategies for rich market applications. The lecture assumes no prior background in game theory or auction theory, or artificial intelligence. Copyright © 2011 by Morgan & Claypool.","algorithmic trading; auction; bidding agent; computational game theory; eBay; multiagent systems; trading agent","Algorithmic trading; auction; Bidding agents; computational game theory; eBay; Trading agent; Commerce; Computation theory; Game theory; Intelligent agents; Multi agent systems; Autonomous agents",Article,"Final",,Scopus,2-s2.0-79959956593
"Weber B.","7401437020;","High frequency trading: The growing threat of rogue trading",2011,"Business Strategy Review","22","2",,"50","53",,1,"10.1111/j.1467-8616.2011.00751.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957961143&doi=10.1111%2fj.1467-8616.2011.00751.x&partnerID=40&md5=21183f2d25a7957b83aa309abb52582c","Information Management, London Business School, United Kingdom","Weber, B., Information Management, London Business School, United Kingdom","A high frequency trading program - not a person - will be at the heart of the next multi-billion dollar rogue trading blow-up. Bruce Weber surveys the dangers. © 2011 London Business School.",,,Article,"Final",,Scopus,2-s2.0-79957961143
"Zubayer A., Musharraf M., Ahmed R.","38562638700;57204396455;15764374100;","FFTI: Free Form Technical Indicator",2011,"ICCRD2011 - 2011 3rd International Conference on Computer Research and Development","1",, 5763979,"87","91",,2,"10.1109/ICCRD.2011.5763979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957568432&doi=10.1109%2fICCRD.2011.5763979&partnerID=40&md5=14c2494573a48ec8a1ca37c022897fc2","Department of Computer Science and Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh","Zubayer, A., Department of Computer Science and Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Musharraf, M., Department of Computer Science and Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Ahmed, R., Department of Computer Science and Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh","In this paper we present the Free Form Technical Indicator (FFTI), a new technical analysis tool developed for aiding the research of technical indicators. FFTI provides a flexible and easy to use yet powerful platform to create and test new technical indicators for analyzing price and volume movements in a stock market. Contemporary technical analysis tools offer many built in indicators. Implementing a conceptually new indicator in those tools requires customization of the software and programming involvement. But FFTI offers an indicator creation method that is straight forward, easy to learn and at the same time exceptionally expressive without the need of any programming or customization. In this work, we present a detailed description of FFTIs indicator creation platform with demonstration of its power by showing a number of well-known indicators written in FFTIs terminology. FFTI is intended for researcher as well as share market investors. It is web-based, free and open source. FFTI has a simple programming interface for future extensions of its terminology and capability with easily pluggable modules. © 2011 IEEE.","Automated Trading Agent; Technical Analysis; Technical Indicator Test bed","Automated trading; Freeforms; Open sources; Pluggable modules; Programming interface; Share market; Stock market; Technical Analysis; Technical indicator; Technical Indicator Test bed; Commerce; Equipment testing; Terminology; User interfaces; Research",Conference Paper,"Final",,Scopus,2-s2.0-79957568432
"Tung W.L., Quek C.","7005685778;8869387400;","Financial volatility trading using a self-organising neural-fuzzy semantic network and option straddle-based approach",2011,"Expert Systems with Applications","38","5",,"4668","4688",,29,"10.1016/j.eswa.2010.07.116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79151470984&doi=10.1016%2fj.eswa.2010.07.116&partnerID=40&md5=8f93ac2e40ec6131d565dd66b406c5b8","Centre for Computational Intelligence, School of Computer Engineering, Nanyang Technological University, Nanyang Avenue, Singapore 639798, Singapore","Tung, W.L., Centre for Computational Intelligence, School of Computer Engineering, Nanyang Technological University, Nanyang Avenue, Singapore 639798, Singapore; Quek, C., Centre for Computational Intelligence, School of Computer Engineering, Nanyang Technological University, Nanyang Avenue, Singapore 639798, Singapore","Financial volatility refers to the intensity of the fluctuations in the expected return on an investment or the pricing of a financial asset due to market uncertainties. Hence, volatility modeling and forecasting is imperative to financial market investors, as such projections allow the investors to adjust their trading strategies in anticipation of the impending financial market movements. Following this, financial volatility trading is the capitalization of the uncertainties of the financial markets to realize investment profits in times of rising, falling and side-way market conditions. In this paper, an intelligent straddle trading system (framework) that consists of a volatility projection module (VPM) and a trade decision module (TDM) is proposed for financial volatility trading via the buying and selling of option straddles to help a human trader capitalizes on the underlying uncertainties of the Hong Kong stock market. Three different measures, namely: (1) the historical volatility (HV), (2) implied volatility (IV) and (3) model-based volatility (MV) of the Hang Seng Index (HSI) are employed to quantify the implicit volatility of the Hong Kong stock market. The TDM of the proposed straddle trading system combines the respective volatility measures with the well-established moving-averages convergence/divergence (MACD) principle to recommend trading actions to a human trader dealing in HSI straddles. However, the inherent limitation of the MACD trading rule is that it generates time-delayed trading signals due to the use of moving averages, which are essentially lagging trend indicators. This drawback is intuitively addressed in the proposed straddle trading system by applying the VPM to compute future projections of the volatility measures of the HSI prior to the activation of the TDM. The VPM is realized by a self-organising neural-fuzzy semantic network named the evolving fuzzy semantic memory (eFSM) model. As compared to existing statistical and computational intelligence based modeling techniques currently employed for financial volatility modeling and forecasting, eFSM possesses several desirable attributes such as: (1) an evolvable knowledge base to continuously address the non-stationary characteristics of the Hong Kong stock market; (2) highly formalized human-like information computations; and (3) a transparent structure that can be interpreted via a set of linguistic IF-THEN semantic fuzzy rules. These qualities provide added credence to the computed HSI volatility projections. The volatility modeling and forecasting performances of the eFSM, when benchmarked to several established modeling techniques, as well as the observed trading returns of the proposed straddle trading system, are encouraging. © 2010 Elsevier Ltd. All rights reserved.","Automated trading system; Evolving neural-fuzzy semantic model; Financial volatility; Hang Seng Index (HSI) options; Moving-averages convergence/divergence (MACD) trading rule; Straddle trading","Automated trading; Evolving neural-fuzzy semantic model; Financial volatility; Hang Seng Index (HSI) options; Straddle trading; Trading rules; Economics; Forecasting; Investments; Knowledge based systems; Neural networks; Profitability; Commerce",Article,"Final",,Scopus,2-s2.0-79151470984
"Tan Z., Quek C., Cheng P.Y.K.","36967676100;8869387400;9276658900;","Stock trading with cycles: A financial application of ANFIS and reinforcement learning",2011,"Expert Systems with Applications","38","5",,"4741","4755",,42,"10.1016/j.eswa.2010.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79151482221&doi=10.1016%2fj.eswa.2010.09.001&partnerID=40&md5=ba2cf69d86de50fd683be4ae21faa997","Centre for Computational Intelligence, School of Computer Engineering, Nanyang Technological University, Blk N4 #2A-32, Nanyang Avenue, Singapore 639798, Singapore; Australian Catholic University, Department of Business and Informatics, 7 Mount St., Sydney, Australia","Tan, Z., Centre for Computational Intelligence, School of Computer Engineering, Nanyang Technological University, Blk N4 #2A-32, Nanyang Avenue, Singapore 639798, Singapore; Quek, C., Centre for Computational Intelligence, School of Computer Engineering, Nanyang Technological University, Blk N4 #2A-32, Nanyang Avenue, Singapore 639798, Singapore; Cheng, P.Y.K., Australian Catholic University, Department of Business and Informatics, 7 Mount St., Sydney, Australia","Based on the principles of technical analysis, this paper proposes an artificial intelligence model, which employs the Adaptive Network Fuzzy Inference System (ANFIS) supplemented by the use of reinforcement learning (RL) as a non-arbitrage algorithmic trading system. The novel intelligent trading system is capable of identifying a change in a primary trend for trading and investment decisions. It dynamically determines the periods for momentum and moving averages using the RL paradigm and also appropriately shifting the cycle using ANFIS-RL to address the delay in the predicted cycle. This is used as a proxy to determine the best point in time to go LONG and visa versa for SHORT. When this is coupled with a group of stocks, we derive a simple form of ""riding the cycles - waves"". These are the derived features of the underlying stock movement. It provides a learning framework to trade on cycles. Initial experimental results are encouraging. Firstly, the proposed framework is able to outperform DENFIS and RSPOP in terms of true error and correlation. Secondly, based on the test trading with five US stocks, the proposed trading system is able to beat the market by about 50 percentage points over a period of 13 years. © 2010 Elsevier Ltd. All rights reserved.","ANFIS; Investment decisions; Price cycles; Reinforcement learning; Stock trading","Adaptive network fuzzy inference systems; Algorithmic trading system; ANFIS; Investment decisions; Learning frameworks; Moving averages; Percentage points; Price cycle; Stock movement; Stock trading; Technical analysis; Time-to-go; Trading systems; True error; Artificial intelligence; Fuzzy inference; Investments; Reinforcement learning; Commerce",Article,"Final",,Scopus,2-s2.0-79151482221
"Angel J.J., Harris L.E., Spatt C.S.","7101775713;7401537335;6602234506;","Equity trading in the 21 st century",2011,"Quarterly Journal of Finance","1","1",,"1","53",,80,"10.1142/S2010139211000067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073318484&doi=10.1142%2fS2010139211000067&partnerID=40&md5=d4cf4d99d94c70edf56e5b8d321b1283","McDonough School of Business, Georgetown University, United States; Marshall School of Business, University of Southern California, United States; Tepper School of Business, Carnegie Mellon University, United States","Angel, J.J., McDonough School of Business, Georgetown University, United States; Harris, L.E., Marshall School of Business, University of Southern California, United States; Spatt, C.S., Tepper School of Business, Carnegie Mellon University, United States","The US equity market has changed dramatically in recent years. Increasing automation and the entry of new trading platforms have resulted in intense competition among trading platforms. Despite these changes, traders still face the same challenges as before. They seek to minimize the total cost of trading, including commissions, bid/ask spreads, and market impact. New technologies allow traders to implement traditional strategies more effectively. For example, dark pools and indications of interest are just an updated form of tactics that NYSE (New York Stock Exchange) floor traders used to search for counterparties while minimizing the exposure of their clients' trading interest to prevent front running. Virtually every measurable dimension of US equity market quality has improved. Execution speeds and retail commissions have fallen. Bid-ask spreads have fallen and remain low, although they spiked upward along with volatility during the recent financial crisis. Market depth has increased. Studies of institutional transactions costs find US costs among the lowest in the world. Unlike during the Crash of 1987, the US equity market mechanism handled the increase in trading volume and volatility without disruption. However, our markets lack a market-wide risk management system that would deal with computer-generated chaos in real time, and our regulators should address this. 'Make or take' pricing, the charging of access fees to market orders that 'take' liquidity and paying rebates to limit orders that 'make' liquidity, causes distortions that should be corrected. Such charges are not reflected in the quotations used for the measurement of best execution. Direct access by nonbrokers to trading platforms requires appropriate risk management. Front running orders in correlated securities should be banned. © 2011 World Scientific Publishing Company and Midwest Finance Association.","bid-ask spreads; Equity markets; high frequency trading; make-or-take pricing; market quality; stock exchanges",,Review,"Final",,Scopus,2-s2.0-85073318484
"Hendershott T., Jones C.M., Menkveld A.J.","6602235014;55474251600;16310265500;","Does algorithmic trading improve liquidity?",2011,"Journal of Finance","66","1",,"1","33",,487,"10.1111/j.1540-6261.2010.01624.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650971884&doi=10.1111%2fj.1540-6261.2010.01624.x&partnerID=40&md5=76fdeba12303670c21ed9b631abf16d6","Haas School of Business, University of California Berkeley, United States; Columbia Business School, United States; VU University Amsterdam, Netherlands","Hendershott, T., Haas School of Business, University of California Berkeley, United States; Jones, C.M., Columbia Business School, United States; Menkveld, A.J., VU University Amsterdam, Netherlands","Algorithmic trading (AT) has increased sharply over the past decade. Does it improve market quality, and should it be encouraged? We provide the first analysis of this question. The New York Stock Exchange automated quote dissemination in 2003, and we use this change in market structure that increases AT as an exogenous instrument to measure the causal effect of AT on liquidity. For large stocks in particular, AT narrows spreads, reduces adverse selection, and reduces trade-related price discovery. The findings indicate that AT improves liquidity and enhances the informativeness of quotes. © 2011 the American Finance Association.",,,Article,"Final",,Scopus,2-s2.0-78650971884
"Andrade H., Gedik B., Wu K.-L., Yu P.S.","56247753300;6506482497;57191998288;7402366049;","Processing high data rate streams in System S",2011,"Journal of Parallel and Distributed Computing","71","2",,"145","156",,27,"10.1016/j.jpdc.2010.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650415754&doi=10.1016%2fj.jpdc.2010.08.007&partnerID=40&md5=d738196801bd65f6577c9f57300904ce","IBM Thomas J. Watson Research Center, Hawthorne, NY 10532, United States; Department of Computer Science, University of Illinois, Chicago, IL 60607, United States","Andrade, H., IBM Thomas J. Watson Research Center, Hawthorne, NY 10532, United States; Gedik, B., IBM Thomas J. Watson Research Center, Hawthorne, NY 10532, United States; Wu, K.-L., IBM Thomas J. Watson Research Center, Hawthorne, NY 10532, United States; Yu, P.S., Department of Computer Science, University of Illinois, Chicago, IL 60607, United States","High-performance stream processing is critical in many sense-and-respond application domainsfrom environmental monitoring to algorithmic trading. In this paper, we focus on language and runtime support for improving the performance of sense-and-respond applications in processing data from high-rate live streams. The central tenets of this work are the programming model, the workload splitting mechanisms, the code generation framework, and the underlying System S middleware and Spade programming model. We demonstrate considerable scalability behavior coupled with low processing latency in a real-world financial trading application. © 2010 Elsevier Inc. All rights reserved.","Data stream processing; Scale-up strategies; Split/aggregate/join architectural pattern; Workload balancing","Algorithmic trading; Architectural pattern; Code Generation; Data stream processing; Environmental Monitoring; Financial trading; High data rate; High rate; Programming models; Real-world; Runtime support; Scale-up; Stream processing; System S; Underlying systems; Workload balancing; Computer hardware description languages; Data communication systems; Middleware; Data handling",Article,"Final",,Scopus,2-s2.0-78650415754
"Koors A., Page B.","55053386000;56765369500;","A hierarchical simulation based software architecture for back-testing and automated trading",2011,"Proceedings - 25th European Conference on Modelling and Simulation, ECMS 2011",,,,"275","282",,2,"10.7148/2011-0275-0282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857777959&doi=10.7148%2f2011-0275-0282&partnerID=40&md5=0a41036684de97c1acfba951e02615fe","Department of Informatics, University of Hamburg, Vogt-Kölln-Str. 30, 22527 Hamburg, Germany","Koors, A., Department of Informatics, University of Hamburg, Vogt-Kölln-Str. 30, 22527 Hamburg, Germany; Page, B., Department of Informatics, University of Hamburg, Vogt-Kölln-Str. 30, 22527 Hamburg, Germany","Financial markets are highly complex adaptive systems. This paper deals with the application of simulators in software architectures for back-testing and automating financial market trading strategies. It characterizes traits and problems of algorithmic trading and describes the established use of simulators in back-testing and automated trading. A new approach in the form of a hierarchical software architecture is introduced, containing simulators as integral parts in all layers, using them both during back-testing and automated trading. In addition to the software architecture the opening objects of investigation are outlined. Finally, the potential of generalizing the application domains of our approach beyond financial market trading strategies is pointed out. © ECMS.","Automated trading systems; Back-testing; Financial markets; Simulation; Software architecture","Application programs; Automation; Electronic trading; Financial markets; Simulators; Software architecture; Software testing; Algorithmic trading; Automated trading; Automated trading systems; Complex adaptive systems; Hierarchical simulation; New approaches; Simulation; Trading strategies; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-84857777959
"Kumar D.","57206172718;","Numerical methods for optimal control based schemes for volatility calibration and algorithmic trading",2011,"Proceedings - 25th European Conference on Modelling and Simulation, ECMS 2011",,,,"289","295",,,"10.7148/2011-0289-0295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857767986&doi=10.7148%2f2011-0289-0295&partnerID=40&md5=0f3d5b1c67a46897f640460d56e2877a","Department of Economics, Indian Institute of Technology Kanpur, Kanpur-208016, India","Kumar, D., Department of Economics, Indian Institute of Technology Kanpur, Kanpur-208016, India","Numerical schemes for inverse problems like volatility estimation or learning market neutral density are of prime importance for financial planning. Recent advances in numerical techniques like finite difference solvers based on parallel computation, Monte Carlo for spectral computations has led to formulation of many approximations based on these methods for financial instruments. This paper surveys two very important problems in finance e.g. volatility calibration and timing of order placing in automatic trading with finite difference discretization schemes. The methods for volatility calibration are illustrated using convergence of Euler Pontryagin approximation for a simplistic model with diffusion price process and then later on more general price process have also been shown to fit into these frameworks through similarity of their adjoint equations. The control approach in algorithmic trading has been done through viscosity solutions and Lax Friedrich numerical schemes. © ECMS.","Finite difference methods; Mathematical finance; Stochastic control","Calibration; Commerce; Electronic trading; Finance; Finite difference method; Inverse problems; Monte Carlo methods; Stochastic systems; Algorithmic trading; Finite-difference discretization; Mathematical Finance; Numerical techniques; Parallel Computation; Spectral computations; Stochastic control; Volatility estimations; Numerical methods",Conference Paper,"Final",,Scopus,2-s2.0-84857767986
"Allende-Cid H., Canessa E., Quezada A., Allende H.","57208732887;57215456556;36810340400;22333831700;","An improved fuzzy rule-based automated trading agent",2011,"Studies in Informatics and Control","20","2",,"135","142",,1,"10.24846/v20i2y201106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958730215&doi=10.24846%2fv20i2y201106&partnerID=40&md5=d822e3967caf736b545d20e305b941ec","Universidad Técnica Federico Santa María, Departamento de Informática, Avda. España 1680, Valparaíso, 2390123, Chile; Universidad Adolfo Ibañez, Facultad de Ingeniería y Ciencias, Balmaceda 1625, Viña del Mar, 3132386, Chile","Allende-Cid, H., Universidad Técnica Federico Santa María, Departamento de Informática, Avda. España 1680, Valparaíso, 2390123, Chile; Canessa, E., Universidad Adolfo Ibañez, Facultad de Ingeniería y Ciencias, Balmaceda 1625, Viña del Mar, 3132386, Chile; Quezada, A., Universidad Adolfo Ibañez, Facultad de Ingeniería y Ciencias, Balmaceda 1625, Viña del Mar, 3132386, Chile; Allende, H., Universidad Técnica Federico Santa María, Departamento de Informática, Avda. España 1680, Valparaíso, 2390123, Chile","In this paper an improved Fuzzy Rule-Based Trading Agent is presented. The proposal consists in adding machine-learning-based methods to improve the overall performance of an automated agent that trades in futures markets. The modified Fuzzy Rule-Based Trading Agent has to decide whether to buy or sell goods, based on the spot and futures time series, gaining a profit from the price speculation. The proposal consists first in changing the membership functions of the fuzzy inference model (Gaussian and Sigmoidal, instead of triangular and trapezoidal). Then using the NFAR (Neuro-Fuzzy Autoregressive) model the relevant lags of the time series are detected, and finally a fuzzy inference system (Self-Organizing Neuro-Fuzzy Inference System) is implemented to aid the decision making process of the agent. Experimental results demonstrate that with the addition of these techniques, the improved agent considerably outperforms the original one.","Automated trading agents; Fuzzy rule-based agents",,Article,"Final",Open Access,Scopus,2-s2.0-79958730215
"Lenglet M.","54414487000;","Conflicting Codes and Codings: How Algorithmic Trading Is Reshaping Financial Regulation",2011,"Theory, Culture & Society","28","6",,"44","66",,52,"10.1177/0263276411417444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82555193424&doi=10.1177%2f0263276411417444&partnerID=40&md5=5673aab107f098e4abb6b9755dcec14d","European Business School Paris, Management & Strategy Department, United Kingdom","Lenglet, M., European Business School Paris, Management & Strategy Department, United Kingdom","Contemporary financial markets have recently witnessed a sea change with the ‘algorithmic revolution’, as trading automats are used to ease the execution sequences and reduce market impact. Being constantly monitored, they take an active part in the shaping of markets, and sometimes generate crises when ‘they mess up’ or when they entail situations where traders cannot go backwards. Algorithms are software codes coding practices in an IT significant ‘textual’ device, designed to replicate trading patterns. To be accepted, however, they need to comply with regulatory texts, which are nothing else but codes of conduct coding accepted practices in the markets. In this article, I draw on ethnographic fieldwork in order to open these black boxes, while trying to describe their existence as devices encapsulating several points of views. I address the question of a possible misalignment between those visions, and more specifically try to draw the consequences raised by such discrepancies as regards the future of financial regulation. © 2011, SAGE, Los Angeles, London, New Delhi, and Singapore. All rights reserved.","algorithmic trading; codes of conduct; codings; financial markets; practices; regulation",,Article,"Final",,Scopus,2-s2.0-82555193424
"Tabata T., Koita T.","57196418691;6507924914;","A system for trading rule search in algorithmic trading",2011,"IMCIC 2011 - 2nd International Multi-Conference on Complexity, Informatics and Cybernetics, Proceedings","2",,,"56","57",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032923665&partnerID=40&md5=b8d3a811c55f6a7281a4f0307241654a","Graduate School of Engineering, Doshisha University, 1-3 TataraMiyakodani, Kyotanabe, Kyoto, 610-0321, Japan; Faculty of Science and Engineering, Doshisha University, 1-3 TataraMiyakodani, Kyotanabe, Kyoto, 610-0321, Japan","Tabata, T., Graduate School of Engineering, Doshisha University, 1-3 TataraMiyakodani, Kyotanabe, Kyoto, 610-0321, Japan; Koita, T., Faculty of Science and Engineering, Doshisha University, 1-3 TataraMiyakodani, Kyotanabe, Kyoto, 610-0321, Japan",[No abstract available],,,Conference Paper,"Final",,Scopus,2-s2.0-85032923665
"Mendes M.R.N., Bizarro P., Marques P.","35782131100;6602941369;7006399189;","Assessing and optimizing microarchitectural performance of event processing systems",2011,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6417 LNCS",,,"216","231",,,"10.1007/978-3-642-18206-8_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952023562&doi=10.1007%2f978-3-642-18206-8_16&partnerID=40&md5=eac8abc067c6a3d349e26cedc9e2b151","CISUC, University of Coimbra, Dep. Eng. Informática - Pólo II, 3030-290, Coimbra, Portugal","Mendes, M.R.N., CISUC, University of Coimbra, Dep. Eng. Informática - Pólo II, 3030-290, Coimbra, Portugal; Bizarro, P., CISUC, University of Coimbra, Dep. Eng. Informática - Pólo II, 3030-290, Coimbra, Portugal; Marques, P., CISUC, University of Coimbra, Dep. Eng. Informática - Pólo II, 3030-290, Coimbra, Portugal","Event Processing (EP) systems are being progressively used in business critical applications in domains such as algorithmic trading, supply chain management, production monitoring, or fraud detection. To deal with high throughput and low response time requirements, these EP systems mainly use the CPU-RAM sub-system for data processing. However, as we show here, collected statistics on CPU usage or on CPU-RAM communication reveal that available systems are poorly optimized and grossly waste resources. In this paper we quantify some of these inefficiencies and propose cache-aware algorithms and changes on internal data structures to overcome them. We test the before and after system both at the microarchitecture and application level and show that: i) the changes improve microarchitecture metrics such as clocks-per-instruction, cache misses or TLB misses; ii) and that some of these improvements result in very high application level improvements such as a 44% improvement on stream-to-table joins with 6-fold reduction on memory consumption, and order-of-magnitude increase on throughput for moving aggregation operations. © 2011 Springer-Verlag.","Benchmarking; Complex Event Processing; Performance; Tuning","Computer architecture; Data handling; Random access storage; Supply chain management; Tuning; Aggregation operation; Algorithmic trading; Complex event processing; Critical applications; Memory consumption; Micro architectures; Performance; Production monitoring; Benchmarking",Conference Paper,"Final",,Scopus,2-s2.0-79952023562
"Gorse D.","56257234600;","Application of stochastic recurrent reinforcement learning to index trading",2011,"ESANN 2011 - 19th European Symposium on Artificial Neural Networks",,,,"123","128",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088916728&partnerID=40&md5=03367cf7934cfe89df60740874752d84","University College London, Dept of Computer Science, Gower Street, London, WC1E 6BT -, United Kingdom","Gorse, D., University College London, Dept of Computer Science, Gower Street, London, WC1E 6BT -, United Kingdom","A novel stochastic adaptation of the recurrent reinforcement learning (RRL) methodology is applied to daily, weekly, and monthly stock index data, and compared to results obtained elsewhere using genetic programming (GP). The data sets used have been a considered a challenging test for algorithmic trading. It is demonstrated that RRL can reliably outperform buy-and-hold for the higher frequency data, in contrast to GP which performed best for monthly data. © European Symposium on Artificial Neural Networks. All rights reserved.",,"Commerce; Genetic algorithms; Genetic programming; Recurrent neural networks; Stochastic systems; Algorithmic trading; Higher frequencies; Recurrent reinforcement learning; Stock indices; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85088916728
"Teodorović N.","36462762200;","Liquidity, price impact and trade informativeness - evidence from the london stock exchange",2011,"Economic Annals","56","188",,"91","124",,1,"10.2298/EKA1188091T","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955091873&doi=10.2298%2fEKA1188091T&partnerID=40&md5=539a860b509a801bd54cc1af624db136","Faculty of Natural Science, Department of Mathematics and Informatics, University of Novi Sad, Serbia","Teodorović, N., Faculty of Natural Science, Department of Mathematics and Informatics, University of Novi Sad, Serbia","The rapid development of electronic trading has significantly changed stock exchange markets. Electronic systems providing trading processes have defined a new stock market environment. Such a new environment requires trading process redefinition (generally defined as algorithmic trading), as well as redefinition of well known microstructure hypotheses. This paper conducts standard Hasbrouck's (1991a, 1991b) market microstructure time series analysis to examine adverse selection and information asymmetry issues on diverse liquidity levelled stocks listed on the London Stock Exchange, which is a market with a significant algorithmic trading share. Based on the results obtained from the considered sample, this paper suggests that the contribution of unexpected trade in the volatility of the efficient price is larger for intensively traded stocks, arguing that Hasbrouck's (1991a, 1991b) model recognizes algorithmic trading as an unexpected trade, i.e. as a trade caused by superior information.","Algorithmic trading; Liquidity measures; Price impact; Trade informativeness",,Article,"Final",Open Access,Scopus,2-s2.0-79955091873
"Tirea M., Tandau I., Negru V.","55203844300;55203693800;6506804846;","Multi-agent stock trading algorithm model",2011,"Proceedings - 13th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2011",,, 6169603,"365","372",,9,"10.1109/SYNASC.2011.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860466741&doi=10.1109%2fSYNASC.2011.11&partnerID=40&md5=3149e106a6afa5d140426305b44a7237","Computer Science Department, West University of Timisoara, Timisoara, Romania; Green Mountain Analytics, Cary, NC, United States","Tirea, M., Computer Science Department, West University of Timisoara, Timisoara, Romania; Tandau, I., Green Mountain Analytics, Cary, NC, United States; Negru, V., Computer Science Department, West University of Timisoara, Timisoara, Romania","Stock Trading Algorithm Models are an important problem researchers dealt with through time that implied knowledge in technical and fundamental analysis, time series combined with knowledge expertise in computer science or programming in order to find solutions of how to have a stock gain. This paper proposes a multi-agent architecture that assists a user in making a successful investment on the stock market. This implies the use of technical and fundamental analysis in order to make a useful prediction of the security's trend. © 2011 IEEE.","Algorithmic trading models; Fundamental analysis; Multi-agent systems; Stock market prediction; Technical analysis","Commerce; Computer programming; Electronic trading; Financial markets; Investments; Time series analysis; Algorithm model; Algorithmic trading models; Fundamental analysis; Multiagent architecture; Stock market prediction; Stock trading; Technical analysis; Technical and fundamental analysis; Multi agent systems",Conference Paper,"Final",,Scopus,2-s2.0-84860466741
"Chou C.-H., Chang A.Y.","36695990200;35241835000;","Visual development platform for white-box algorithmic trading",2010,"Proceedings - 2010 6th International Conference on Intelligent Information Hiding and Multimedia Signal Processing, IIHMSP 2010",,, 5636150,"712","715",,1,"10.1109/IIHMSP.2010.180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650445713&doi=10.1109%2fIIHMSP.2010.180&partnerID=40&md5=4c50010a771e86ed56af47d064bf4f1a","Dept. of Information Management, Chinese Culture University, Taipei, Taiwan; Dept. of Computer Science, Chinese Culture University, Taipei, Taiwan","Chou, C.-H., Dept. of Information Management, Chinese Culture University, Taipei, Taiwan; Chang, A.Y., Dept. of Computer Science, Chinese Culture University, Taipei, Taiwan","As with any software system development project, trading strategy generated by technical analysis, has its life cycle. Some only last for a few months, or even only a few days or hours. The trading strategy becomes ineffective after then. This study attempts to provide a visual based tool that allows traders using simple Drag & Draw method to convert the idea of trading strategy to the program that is ready for execution. At the end of the life cycle of trading strategies, they can be modified, updated or deleted easily. This will make the trading strategies adapt to the fast changing market and let the traders generate more profit. © 2010 IEEE.","Algorithmic trading; Algorithmis trading; Visual programming","Algorithmic trading; Algorithmis trading; Software systems; Technical analysis; Trading strategies; Visual development; Visual programming; Algorithms; Computer programming; Life cycle; Multimedia signal processing; Profitability; Signal processing; Software design; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-78650445713
